modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm_full,signo_zodiacal_escorpio,1,0.5,0.5,0.519047619047619,0.41999999999999993,0.45359477124183006,0.5,0.5733344890403714,4.2,4.2,5.8,5.8
svm_full,signo_zodiacal_escorpio,2,0.5,0.44000000000000006,0.45500000000000007,0.45999999999999996,0.45067026540710753,0.384,0.5243568119187314,4.6,5.8,4.2,5.4
svm_full,signo_zodiacal_escorpio,3,0.5,0.4,0.42444083694083695,0.5399999999999999,0.4704742625795257,0.41,0.49880206781522574,5.4,7.4,2.6,4.6
svm_full,signo_zodiacal_escorpio,4,0.5,0.5800000000000001,0.5761460761460763,0.6799999999999999,0.6184021927729021,0.578,0.5896733976377939,6.8,5.2,4.8,3.2
svm_full,signo_zodiacal_escorpio,5,0.5,0.48,0.48461538461538467,0.6199999999999999,0.5408634843417452,0.512,0.5686298674665548,6.2,6.6,3.4,3.8
svm_full,signo_zodiacal_escorpio,6,0.5,0.51,0.5336940836940837,0.4,0.443687650498796,0.54,0.6145827126090283,4.0,3.8,6.2,6.0
svm_full,signo_zodiacal_escorpio,7,0.5,0.48999999999999994,0.440952380952381,0.42000000000000004,0.4188888888888889,0.426,0.5262781487518329,4.2,4.4,5.6,5.8
svm_full,signo_zodiacal_escorpio,8,0.5,0.5900000000000001,0.6106060606060606,0.5199999999999999,0.5427489177489176,0.588,0.6604173706410548,5.2,3.4,6.6,4.8
svm_full,signo_zodiacal_escorpio,9,0.5,0.47000000000000003,0.47745670995670997,0.5,0.47983442769820484,0.518,0.6388731834041431,5.0,5.6,4.4,5.0
svm_full,signo_zodiacal_escorpio,10,0.5,0.43,0.43440115440115434,0.44000000000000006,0.43024738316379185,0.45199999999999996,0.5076622750314701,4.4,5.8,4.2,5.6
svm_full,signo_zodiacal_escorpio,11,0.5,0.36,0.3515384615384615,0.36,0.3430255348516218,0.306,0.44756645521661,3.6,6.4,3.6,6.4
svm_full,signo_zodiacal_escorpio,12,0.5,0.55,0.541965811965812,0.5,0.5039470217044587,0.506,0.5500948049198822,5.0,4.0,6.0,5.0
svm_full,signo_zodiacal_escorpio,13,0.5,0.53,0.503525641025641,0.64,0.5591905678862201,0.53,0.5810410010526109,6.4,5.8,4.2,3.6
svm_full,signo_zodiacal_escorpio,14,0.5,0.47000000000000003,0.4222222222222222,0.3,0.343859649122807,0.42000000000000004,0.5127353218676747,3.0,3.6,6.4,7.0
svm_full,signo_zodiacal_escorpio,15,0.5,0.53,0.5256721056721056,0.5999999999999999,0.556902037702953,0.47400000000000003,0.5251706991838571,6.0,5.4,4.6,4.0
svm_full,signo_zodiacal_escorpio,16,0.5,0.43000000000000005,0.4074592074592075,0.4800000000000001,0.43649068322981366,0.438,0.536271422591856,4.8,6.2,3.8,5.2
svm_full,signo_zodiacal_escorpio,17,0.5,0.49000000000000005,0.47333333333333333,0.33999999999999997,0.3888888888888889,0.505,0.5272995223730519,3.4,3.6,6.4,6.6
svm_full,signo_zodiacal_escorpio,18,0.5,0.4,0.3909090909090909,0.43999999999999995,0.41041619199513935,0.43999999999999995,0.5717871779063729,4.4,6.4,3.6,5.6
svm_full,signo_zodiacal_escorpio,19,0.5,0.61,0.6051981351981353,0.6199999999999999,0.5987841144362883,0.612,0.6257243034743034,6.2,4.0,6.0,3.8
svm_full,signo_zodiacal_escorpio,20,0.5,0.52,0.5100854700854701,0.72,0.5933867871259176,0.51,0.5340925806219924,7.2,6.8,3.2,2.8
svm_full,signo_zodiacal_escorpio,21,0.5,0.37,0.36,0.28,0.303028024606972,0.31,0.4512753482327786,2.8,5.4,4.6,7.2
svm_full,signo_zodiacal_escorpio,22,0.5,0.4,0.39868686868686865,0.42000000000000004,0.40410359231411863,0.414,0.5427913460808197,4.2,6.2,3.8,5.8
svm_full,signo_zodiacal_escorpio,23,0.5,0.5,0.5017399267399267,0.5,0.49434756774910227,0.522,0.5793426022721687,5.0,5.0,5.0,5.0
svm_full,signo_zodiacal_escorpio,24,0.5,0.4699999999999999,0.47272727272727266,0.45999999999999996,0.46507936507936504,0.491,0.5453158575170959,4.6,5.2,4.8,5.4
svm_full,signo_zodiacal_escorpio,25,0.5,0.4800000000000001,0.4648351648351648,0.4600000000000001,0.45827163817472066,0.41,0.4782741702741703,4.6,5.0,5.0,5.4
svm_full,signo_zodiacal_escorpio,26,0.5,0.52,0.5199023199023199,0.6199999999999999,0.5610602593440122,0.5780000000000001,0.6247473337635876,6.2,5.8,4.2,3.8
svm_full,signo_zodiacal_escorpio,27,0.5,0.36,0.33939393939393936,0.3,0.3156641604010025,0.29600000000000004,0.42962886769233516,3.0,5.8,4.2,7.0
svm_full,signo_zodiacal_escorpio,28,0.5,0.47000000000000003,0.45595238095238094,0.36,0.4002579979360165,0.45199999999999996,0.5342140478200849,3.6,4.2,5.8,6.4
svm_full,signo_zodiacal_escorpio,29,0.5,0.44000000000000006,0.44497502497502495,0.36,0.38425344050663746,0.44700000000000006,0.5347785341593391,3.6,4.8,5.2,6.4
svm_full,signo_zodiacal_escorpio,30,0.5,0.62,0.615,0.6599999999999999,0.6211188811188811,0.68,0.7040335954894779,6.6,4.2,5.8,3.4
svm_full,signo_zodiacal_escorpio,31,0.5,0.4800000000000001,0.4872377622377623,0.52,0.49908400777966,0.484,0.560139037433155,5.2,5.6,4.4,4.8
svm_full,signo_zodiacal_escorpio,32,0.5,0.5,0.4626283846872082,0.5599999999999999,0.48903707231880605,0.43600000000000005,0.5199491335977404,5.6,5.6,4.4,4.4
svm_full,signo_zodiacal_escorpio,33,0.5,0.52,0.5068589743589744,0.6799999999999999,0.5772915779872301,0.514,0.5248328883019285,6.8,6.4,3.6,3.2
svm_full,signo_zodiacal_escorpio,34,0.5,0.44000000000000006,0.44727272727272727,0.52,0.4764102564102564,0.438,0.5430917909919458,5.2,6.4,3.6,4.8
svm_full,signo_zodiacal_escorpio,35,0.5,0.42000000000000004,0.4282051282051282,0.42000000000000004,0.41368286445012786,0.32,0.4463841273105979,4.2,5.8,4.2,5.8
svm_full,signo_zodiacal_escorpio,36,0.5,0.54,0.5533910533910534,0.5799999999999998,0.5532581453634086,0.5720000000000001,0.6235150394840797,5.8,5.0,5.0,4.2
