modelo,n_sample,n_iter,k_folds,n_signos,total_iteraciones,total_cv_fits,tiempo_total_seg,tiempo_promedio_iteracion_seg,tiempo_promedio_fit_cv_seg,memoria_inicio_mb,memoria_fin_mb,memoria_peak_observada_mb
dt,10,100,5,12,1200,6000,59.196457400001236,0.0493303811666677,0.00986607623333354,12096.21875,9908.01171875,12111.28515625
dt,50,100,5,12,1200,6000,61.86998719999974,0.05155832266666645,0.01031166453333329,9908.8828125,10069.2265625,10192.578125
dt,100,100,5,12,1200,6000,70.77283900001203,0.058977365833343356,0.011795473166668671,10069.328125,3545.859375,10207.0859375
dt,150,100,5,12,1200,6000,69.85398659999191,0.05821165549999326,0.011642331099998652,3545.98828125,4198.58203125,4196.5859375
dt,200,100,5,12,1200,6000,76.014070300007,0.06334505858333918,0.012669011716667834,4198.72265625,4919.484375,4917.8828125
dt,500,100,5,12,1200,6000,128.3438576000044,0.10695321466667035,0.021390642933334068,4919.80078125,6949.63671875,6949.6484375
dt,1000,100,5,12,1200,6000,249.48390510000172,0.20790325425000145,0.04158065085000029,6949.7109375,9079.01171875,9079.26171875
