n_sample,pos_rate_bootstrap_mean,pos_rate_bootstrap_std,pos_rate_bootstrap_min,pos_rate_bootstrap_max,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_min,cv_accuracy_max,cv_precision_mean,cv_precision_std,cv_precision_min,cv_precision_max,cv_recall_mean,cv_recall_std,cv_recall_min,cv_recall_max,cv_f1_mean,cv_f1_std,cv_f1_min,cv_f1_max,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_min,cv_roc_auc_max,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_min,cv_pr_auc_max,cv_tp_mean_mean,cv_tp_mean_std,cv_tp_mean_min,cv_tp_mean_max,cv_fp_mean_mean,cv_fp_mean_std,cv_fp_mean_min,cv_fp_mean_max,cv_tn_mean_mean,cv_tn_mean_std,cv_tn_mean_min,cv_tn_mean_max,cv_fn_mean_mean,cv_fn_mean_std,cv_fn_mean_min,cv_fn_mean_max
10,0.5,0.0,0.5,0.5,0.49225,0.17867533376419503,0.0,1.0,0.3445,0.2086608878981605,0.0,1.0,0.49866666666666665,0.2421716226175627,0.0,1.0,0.3958888888888889,0.2152678195777035,0.0,1.0,0.49225,0.17867533376419503,0.0,1.0,0.5951666666666667,0.11016693174268258,0.5,1.0,0.49866666666666665,0.2421716226175627,0.0,1.0,0.5141666666666667,0.24148409408344393,0.0,1.0,0.48583333333333334,0.24148409408344404,0.0,1.0,0.5013333333333333,0.2421716226175627,0.0,1.0
50,0.5,0.0,0.5,0.5,0.4999,0.08443102015434603,0.26,0.78,0.4988780423280423,0.10384832056778172,0.17,0.7892857142857143,0.4988666666666667,0.11357874947585621,0.16,0.96,0.48188319458319456,0.09728503229372604,0.16444444444444445,0.8016317016317018,0.5000933333333333,0.08456400247337807,0.26,0.78,0.5279472486772487,0.04596342756693966,0.4413333333333334,0.7395238095238096,2.494333333333333,0.5678937473792814,0.8,4.8,2.4953333333333334,0.5606307262642518,0.8,4.2,2.5046666666666666,0.5606307262642518,0.8,4.2,2.505666666666667,0.5678937473792813,0.2,4.2
100,0.5,0.0,0.5,0.5,0.5027083333333333,0.05827588119593894,0.32999999999999996,0.7,0.5029781302303361,0.06439668124929725,0.3233333333333333,0.782034632034632,0.5019166666666667,0.07943499220879656,0.26,0.76,0.49400480598472285,0.06608580628152882,0.296060606060606,0.6904207290294246,0.5026691666666666,0.058269724986599186,0.32999999999999996,0.7,0.5147295720061529,0.031233645332984405,0.44565850815850816,0.657846153846154,5.019166666666667,0.794349922087966,2.6,7.6,4.965,0.7940825771182337,2.0,7.2,5.035,0.7940825771182337,2.8,8.0,4.980833333333333,0.794349922087966,2.4,7.4
150,0.5,0.0,0.5,0.5,0.5012277777777778,0.04647137307117815,0.3333333333333333,0.6466666666666667,0.5015039439145219,0.049671635005504707,0.32539592760180996,0.6521380090497738,0.5006666666666666,0.063141729100892,0.29333333333333333,0.6933333333333334,0.49536993481805563,0.052405581303440876,0.3255311963538496,0.6554629629629629,0.501234074074074,0.046428338203257376,0.33333333333333337,0.6466666666666667,0.5094304596178052,0.023627388629742542,0.4513105252733737,0.599308741940321,7.51,0.9471259365133801,4.4,10.4,7.473166666666666,0.9390144278099521,4.6,10.8,7.526833333333334,0.939014427809952,4.2,10.4,7.49,0.9471259365133802,4.6,10.6
200,0.5,0.0,0.5,0.5,0.5000541666666667,0.040257423117593415,0.33999999999999997,0.625,0.5001549206573126,0.04204591713510734,0.31864481923305454,0.6313483788164095,0.49717500000000003,0.05386421666125329,0.29,0.68,0.49450543121011475,0.044297626565483736,0.30136095767674714,0.6436166443984356,0.5000502083333334,0.0402839604134875,0.33999999999999997,0.625,0.5066222289181641,0.02087915555521739,0.44949337264043143,0.5810160137662997,9.9435,1.0772843332250672,5.8,13.6,9.941333333333334,1.126091303392048,6.6,13.6,10.058666666666666,1.126091303392048,6.4,13.4,10.0565,1.0772843332250672,6.4,14.2
500,0.5,0.0,0.5,0.5,0.5011833333333333,0.025048404627191892,0.418,0.594,0.5013422748227201,0.025688537325758324,0.4116166302280524,0.5919460453735746,0.49706333333333336,0.0343588867660958,0.384,0.616,0.49754468122968243,0.027883468407812046,0.39592273431896785,0.6024365512862893,0.5012278666666666,0.025388686705422145,0.41812000000000005,0.5974,0.5032356453021837,0.013073931424176833,0.46683468339243384,0.5588866453084493,24.853166666666667,1.7179443383047899,19.2,30.8,24.734833333333334,1.7534391243661502,19.0,30.2,25.265166666666666,1.7534391243661502,19.8,31.0,25.146833333333333,1.7179443383047899,19.2,30.8
1000,0.5,0.0,0.5,0.5,0.50071,0.016614329054813432,0.45,0.5619999999999999,0.5007292731188322,0.01691938205187043,0.44738858294767586,0.5634731793476984,0.49668500000000004,0.024029744738417323,0.418,0.5740000000000001,0.49787578406926447,0.018856592778232185,0.43506435232869267,0.565162653030457,0.5006710583333334,0.01688388184586368,0.44749,0.56319,0.5016483440201406,0.008696360815849733,0.4770764299748767,0.5360623523060369,49.668499999999995,2.4029744738417316,41.8,57.4,49.526500000000006,2.451048234505641,40.4,57.0,50.473499999999994,2.451048234505641,43.0,59.6,50.331500000000005,2.4029744738417316,42.6,58.2
